Sr. No.,State Code,State Name,District Name,District Code,Project Name,Project Code,Sector,Sector Code,AWC Name,Village Town,LGD Village Code /Town Code,AWC Code,Health Block,Block Code,Helath Sub centre,Helath Sub Centre Code
1,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Averi,Awari,011908,02024010101,,,,
2,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Bhadrena,Bhadrena,011883,02024010102,,,,
3,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Bari Khas,Bari,012059,02024010103,,,,
4,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Bari Khas II,Bahi Khas,012025,02024010104,,,,
5,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gadiara,Nain,011888,02024010105,,,,
6,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gwal Thana,Gawal,012005,02024010106,,,,
7,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gwal Tikker,Gawal,012005,02024010107,,,,
8,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gehar,Janehar,011926,02024010108,,,,
9,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gonth,Ganoh,011920,02024010109,,,,
10,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Ghorpeeth,Ghorpith,011907,02024010110,,,,
11,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Gujrehra,Gujrera,011955,02024010111,,,,
12,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Kamlehar,Nain,011888,02024010112,,,,
13,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Kand,Gawal,012005,02024010113,,,,
14,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Kand II,Gawal,012005,02024010114,,,,
15,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Lihal Chandpur,Aweri,011908,02024010115,,,,
16,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Lohar Lahri,Ganoh,011920,02024010116,,,,
17,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Lower Averi,Aweri,011908,02024010117,,,,
18,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Nain,Nain,011888,02024010118,,,,
19,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Nanahar,Ganoh,011920,02024010119,,,,
20,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Rachhiara,Rachhiara,011860,02024010120,,,,
21,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Rajehar,Rajehr,011502,02024010121,,,,
22,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Speru,Saperu,011859,02024010122,,,,
23,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Tangu,Aweri,011908,02024010123,,,,
24,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Upper Averi,Aweri,011908,02024010124,,,,
25,02,Himachal Pradesh,Kangra,024,Baijnath,01,Averi,01,Upper Beth,Ghorpith,011907,02024010125,,,,
26,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Baadi,Keori,012052,02024010301,,,,
27,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Bada Bhangal ,Bara Bangahal,012090,02024010302,,,,
28,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Bada Bhangal II,Bara Bangahal,012090,02024010303,,,,
29,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Baag,Bag,012069,02024010304,,,,
30,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Bir,Bir,011343,02024010305,,,,
31,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Bir Khas Kutiya,Bir Khas,012058,02024010306,,,,
32,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Buhla Suja,Keori,012052,02024010307,,,,
33,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Chowgan,Chogan,012054,02024010308,,,,
34,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Chowgan Khass,Chogan,012054,02024010309,,,,
35,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Chowgan II,Chogan,011670,02024010310,,,,
36,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Gunehar,Gunehar,012056,02024010311,,,,
37,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Gwal Gunehar,Gunehr,012056,02024010312,,,,
38,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Kanarag,Mandehr Khurd,012062,02024010313,,,,
39,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Khadring,Mandehr Khurd,012062,02024010314,,,,
40,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Kotli,Kotli,012055,02024010315,,,,
41,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Kotli II,Kotli,012055,02024010316,,,,
42,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Kyor,Keori,012052,02024010317,,,,
43,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Lahad,Lahr,011366,02024010318,,,,
44,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Lambahaar,Keori,012052,02024010319,,,,
45,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Madhed Kalan,Mandehr Kalan,012063,02024010320,,,,
46,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Madhed Khurd,Mandehr Khurd,012062,02024010321,,,,
47,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Matroohan,Matruh,012068,02024010322,,,,
48,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Panjole Dug,Genehr,012056,02024010323,,,,
49,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Sahaan,mandehr Kalan,012063,02024010324,,,,
50,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Suja,Suja,012053,02024010325,,,,
51,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Mini AWC Lower Bir,Bir,011343,02024010326,,,,
52,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Mini AWC Upper Bir,Bir Khas,012058,02024010327,,,,
53,02,Himachal Pradesh,Kangra,024,Baijnath,01,Bir,03,Mini AWC Upper Bir(w 1),Bir,011343,02024010328,,,,
54,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Behru,Behru,011272,02024010501,,,,
55,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Bharag,Bharag,012051,02024010502,,,,
56,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Bharer I,Bharehr,011574,02024010503,,,,
57,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Bharer II,Bharehr,011574,02024010504,,,,
58,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,BhrunPhatti,Deol Khas,012080,02024010505,,,,
59,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Brahan,Barahan,012067,02024010506,,,,
60,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Chogan Thathi,Chogan Thati,012064,02024010507,,,,
61,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Deol,Deol Khas,012080,02024010508,,,,
62,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Deol II,Deol Khas,012080,02024010509,,,,
63,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Dharer,Dharehr,012075,02024010510,,,,
64,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Jalgran,Jalgaran,012078,02024010511,,,,
65,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Jamurtpur,Deol Khas,012080,02024010512,,,,
66,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Kandkosri,Kand Kosri,012077,02024010513,,,,
67,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Karnarthu,Karnathu,012083,02024010514,,,,
68,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Karnarthu II,Karnathu,012083,02024010515,,,,
69,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Kuthar Thathi,Sansal Khas,012070,02024010516,,,,
70,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Laah,Deol Khas,012080,02024010517,,,,
71,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Lower Dharer,Dharehr,012075,02024010518,,,,
72,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Lulani,Dharehr,012075,02024010519,,,,
73,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Panjala I,Panjiala Buhla,012071,02024010520,,,,
74,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Panjala II,Panjiala Uprla,012072,02024010521,,,,
75,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Pathar,Patahar,012082,02024010522,,,,
76,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Pathar II,Patahar,012082,02024010523,,,,
77,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Pirdi,Patahar,012082,02024010524,,,,
78,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Tada,Tara,011656,02024010525,,,,
79,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Thathwal Thathi,Sansal Khas,012070,02024010526,,,,
80,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Gujreda,Gujrehra,011955,02024010527,,,,
81,02,Himachal Pradesh,Kangra,024,Baijnath,01,Fatahar,05,Lulani II Mini,Dharehr,012075,02024010528,,,,
82,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Andrali malanh,Andarli Malahn,012132,02024010701,,,,
83,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Bhujling I,Bhujling,012128,02024010702,,,,
84,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Bhujling II,Bhujling,012128,02024010703,,,,
85,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Chherna,Cheerna,012126,02024010704,,,,
86,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Judhar,Judhar,012123,02024010705,,,,
87,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Khadi Malanh,Khari Malahn,012131,02024010706,,,,
88,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Lohardi,Lamehr,011823,02024010707,,,,
89,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Luwai,Luwai,012120,02024010708,,,,
90,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Napota,Napohta,012124,02024010709,,,,
91,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Polling I,Pulling,012130,02024010710,,,,
92,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Polling II,Pulling,012130,02024010711,,,,
93,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Ropru,Ropru,012121,02024010712,,,,
94,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Swad I,Shawar,012125,02024010713,,,,
95,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Swad-II,Shawar,012125,02024010714,,,,
96,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Tarmehar I,Tarmehr,012122,02024010715,,,,
97,02,Himachal Pradesh,Kangra,024,Baijnath,01,Lohardi,07,Tarmehar II,Tarmehr,012122,02024010716,,,,
98,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,BaraGran I,Bara Garan,012102,02024010901,,,,
99,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,BaraGran II,Bara Garan,012102,02024010902,,,,
100,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Chelra Dee Mallah,Chelra Dee Mallah,012107,02024010903,,,,
101,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Dharman I,Dharman,012110,02024010904,,,,
102,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Dharman II,Dharman,011876,02024010905,,,,
103,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Gagloo Dee Mallah,Gagloo Dee Mallah,012106,02024010906,,,,
104,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Multhan,Multhan,012119,02024010907,,,,
105,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Ner,Ner,012112,02024010908,,,,
106,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Nalota,Nalota,012103,02024010909,,,,
107,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Nichali Kohar,Kohar Khas,012104,02024010910,,,,
108,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Rajgundha,Rajal,012006,02024010911,,,,
109,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Rooling,Ruling,012101,02024010912,,,,
110,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Sangrehar,Sangrehar,012113,02024010913,,,,
111,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Sarlah,Sarla,012109,02024010914,,,,
112,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Sarman,Sarman,012111,02024010915,,,,
113,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Seri,Sari,011442,02024010916,,,,
114,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Uldhar,Uhl Dhar,012116,02024010917,,,,
115,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Upper Kohar,Khoar Uparli,012105,02024010918,,,,
116,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Deot,Deot,012114,02024010919,,,,
117,02,Himachal Pradesh,Kangra,024,Baijnath,01,Multhan,09,Deot Mini,Deot,012114,02024010920,,,,
118,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Bhiot,Kudal Bhuhli,012009,02024011201,,,,
119,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Chobin,Kudal Bhuhli,012009,02024011202,,,,
120,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Dadin,Danin,012004,02024011203,,,,
121,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Dan Pathar,Majhoti,011985,02024011204,,,,
122,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Duhak,Duhk,012001,02024011205,,,,
123,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Duhak II,Duhk,012001,02024011206,,,,
124,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Sunehar,Chaubin,012003,02024011207,,,,
125,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Khlennu,Khalianu,012018,02024011208,,,,
126,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Kothi,Kothi,011946,02024011209,,,,
127,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Kothi II,Chadihiar Khas,011963,02024011210,,,,
128,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Kudail,Kudal Upperli,012010,02024011211,,,,
129,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Kunni,Chaubin,012003,02024011212,,,,
130,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Malher,Malehr,012017,02024011213,,,,
131,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Malher II,Malehr,012017,02024011214,,,,
132,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Mandrera,Chadihiar Khas,011963,02024011215,,,,
133,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Patel Nagar,Patel nagar,011984,02024011216,,,,
134,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Patt,Pat   ,012007,02024011217,,,,
135,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Patt II,Pat   ,012007,02024011218,,,,
136,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Pihad,Chaubin,012003,02024011219,,,,
137,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Ridi Kholi,Samletr,011981,02024011220,,,,
138,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Samletar,Samletr,011981,02024011221,,,,
139,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Gwal,Gawal,012005,02024011222,,,,
140,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Mini AWC Bachhal,Chaubin,012003,02024011223,,,,
141,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Mini AWC Chaniara I,Chainara,012008,02024011224,,,,
142,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Mini AWC Chaniara II,Chainara,012008,02024011225,,,,
143,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Mini AWC Janehad,Chaubin,012003,02024011226,,,,
144,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Mini AWC Mehta Basti,Chaubin,012003,02024011227,,,,
145,02,Himachal Pradesh,Kangra,024,Baijnath,01,Chobin,12,Mini AWC Majara Basti,Chaubin,012003,02024011228,,,,
146,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Bhuhli Kothi,Paprola,011347,02024012201,,,,
147,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Bhuhli Kothi II,Paprola,011347,02024012202,,,,
148,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Chakol Behdu,Chakol Behdu,011934,02024012203,,,,
149,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Ghirtheda,Paprola Khas,011942,02024012204,,,,
150,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Gujrehada,Gujrehra,011667,02024012205,,,,
151,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Jalehad,Paprola,011347,02024012206,,,,
152,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Jhikli Bheth,Kasba ,011746,02024012207,,,,
153,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Jhikli Bheth II,Kasba ,011746,02024012208,,,,
154,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Jhirkhad,Paprola Khas,011942,02024012209,,,,
155,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Kasba  Paprola,Kasba ,011746,02024012210,,,,
156,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Kandi Paprola,Kharanaal,011903,02024012211,,,,
157,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Kharanaal,Kharanaal,011903,02024012212,,,,
158,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Khatrehad,Khatrehar,011945,02024012213,,,,
159,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Khatrehad II,Khatrehar,011945,02024012214,,,,
160,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Kothi Railway,Paprola,011347,02024012215,,,,
161,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Kukena,Kukaina ,011940,02024012216,,,,
162,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Majerna,Majhera,011471,02024012217,,,,
163,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Khas Majerna,Majheran Khas,011937,02024012218,,,,
164,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Malghota,Malghota,011901,02024012219,,,,
165,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Nagan,Nagan,011902,02024012220,,,,
166,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Nagun,Sahel,012073,02024012221,,,,
167,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Pantehad,Paprola,011347,02024012222,,,,
168,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Sehal II,Sahel,012073,02024012223,,,,
169,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Tharu,Paprola,011347,02024012224,,,,
170,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Tashijong,Paprola,011347,02024012225,,,,
171,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Upper Majerna,Majhera,011471,02024012226,,,,
172,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Mini Lower Majerna,Majhera,011471,02024012227,,,,
173,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Mini Lower sehal,Sahel,012073,02024012228,,,,
174,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Mini Ghietheda,Paprola,011347,02024012229,,,,
175,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Mahal Pamblu,Kharanal,011903,02024012230,,,,
176,02,Himachal Pradesh,Kangra,024,Baijnath,01,Paprola,22,Mini Upper kukena,Kukaina ,011940,02024012231,,,,
177,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Balh Harer,Hareher,011898,02024012301,,,,
178,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Balh Kandral,Kandral,011897,02024012302,,,,
179,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Bhankhehar,Madho Nagar,011892,02024012303,,,,
180,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Dugh,Dug Khas,011891,02024012304,,,,
181,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Duhki,Duhaki,011673,02024012305,,,,
182,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Ghalot,Ghalot,011895,02024012306,,,,
183,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Harehar,Hareher,011898,02024012307,,,,
184,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,harehar II,Hareher,011898,02024012308,,,,
185,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Jehru,Jehru,011894,02024012309,,,,
186,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Kalony,Kandral,011897,02024012310,,,,
187,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Kandral,Kandral,011897,02024012311,,,,
188,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Karot ,Karot,011886,02024012312,,,,
189,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Kharas,Gawal Tikkar,011873,02024012313,,,,
190,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Kumharda,Hareher,011898,02024012314,,,,
191,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Lamal,Kachhal Bhadarian,011416,02024012315,,,,
192,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Lot,Lot,011887,02024012316,,,,
193,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Madho Nagar,Madho Nagar,011892,02024012317,,,,
194,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Maheshgarh,Kandral,011897,02024012318,,,,
195,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Nain,Nain,011868,02024012319,,,,
196,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Suhru,Suhru-I,011904,02024012320,,,,
197,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Tar,Deol Khas,012080,02024012321,,,,
198,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Upper Lot,Lot,011887,02024012322,,,,
199,02,Himachal Pradesh,Kangra,024,Baijnath,01,Uttrala,23,Uttrala,Madho Nagar,011892,02024012323,,,,
200,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Ashapuri,Ashapuri,011388,02024012401,,,,
201,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Baijnath II,Baijnath,012047,02024012402,,,,
202,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Balah,Balah,011742,02024012403,,,,
203,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Bhattu,Bhatu Buhla,012049,02024012404,,,,
204,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Bhattu II,Bhattu Uparla,012050,02024012405,,,,
205,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Ganesh Bazar,Gan Khetar,012048,02024012406,,,,
206,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Gankhetar,Gan Khetar,012048,02024012407,,,,
207,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Girtholi,Ghartholi,012043,02024012408,,,,
208,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Girtholi Middle,Ghartholi,011563,02024012409,,,,
209,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Kanjrahar,Kanjrar,012074,02024012410,,,,
210,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Kasba Baijnath,Baijnath,012047,02024012411,,,,
211,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Kasba Baijnath II,Baijnath,012047,02024012412,,,,
212,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Khas Baijnath,Baijnath,012047,02024012413,,,,
213,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Kholi,Kholi,011733,02024012414,,,,
214,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,New Ustehar,Ustehr,011829,02024012415,,,,
215,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Pandole Road,Baijnath,012047,02024012416,,,,
216,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Pantehar,Pandtehr,011611,02024012417,,,,
217,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Pantehar II,Pandtehr,011611,02024012418,,,,
218,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Preet Nagar,Baijnath,012047,02024012419,,,,
219,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Samlotu,Ustehr,011829,02024012420,,,,
220,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Sehal,Sihol,011627,02024012421,,,,
221,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Sheetla Chowk ,Ustehr,011829,02024012422,,,,
222,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Sunpur ,Sunpur,012041,02024012423,,,,
223,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Upper Bhattu,Bhattu Uparla,012050,02024012424,,,,
224,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Ustehar,Ustehr,011829,02024012425,,,,
225,02,Himachal Pradesh,Kangra,024,Baijnath,01,Baijnath,24,Ustehar II,Ustehr,011829,02024012426,,,,
226,02,Himachal Pradesh,Kangra,024,Baijnath,01,Gadiara,27,Baba Kathak,Sakri Khas,012026,02024012701,,,,
